Position	A1	A2	B1	B2
1	80	62.5	100	100
2	92.3	100	95	100
3	92.4	89.6	21.8	21.2
4	100	100	100	100
5	100	100	100	100
6	92.3	82.8	29	20.3
7	0	0	0	0
8	0	0	0	0
9	0	3.3	0	0
10	0	0	0	0
11	100	96.1	100	96.9
12	11.7	23.3	0	0
13	0	0	0	0
14	100	100	100	90
15	0	0	0	0
16	85	100	100	100
17	100	94.7	100	100
18	42.1	33.3	100	92.3
19	100	100	0	0
20	100	95	100	95.4
21	0	0	0	0
22	93.7	93.3	0	0
23	6.6	0	0	0
24	93.7	100	78.9	90.9
25	65.2	51.4	0	0
26	95.4	91.6	0	0
27	0	0	0	0
28	100	92.5	100	100
29	0	0	0	0
30	93.3	100	93.7	100
31	0	10.5	95.8	100
32	0	0	0	0
33	0	0	0	0
34	90	90	13	7.1
35	0	0	0	2.1
36	100	93.1	96	100
37	75	100	91.3	100
38	100	96.4	96.8	100
39	100	100	11.1	0
40	100	96.2	100	86.2
41	100	100	100	100
42	0	0	0	0
43	100	90	100	100
44	95.4	80	100	100
45	100	100	100	100
46	0	0	0	0
47	4.3	0	0	0
48	92.8	86.6	4.5	0
49	3.4	0	0	0
50	0	0	0	0
51	100	100	100	100
52	94.4	100	100	100
53	92.3	97.3	50	40.9
54	55.5	53.8	11.1	5
55	90.9	86.6	0	8.3
56	92.8	100	100	100
57	3.8	10.2	0	0
58	0	0	0	0
59	100	100	100	100
60	93.4	92.9	22.8	23.2
61	68.7	69.5	0	0
62	0	0	0	0
63	0	0	0	0
64	100	100	100	87.1
65	93.7	100	0	2.2
66	0	0	0	0
67	0	0	0	0
68	100	100	100	100
69	0	0	0	0
70	25	30	91.6	94.7
71	100	100	100	100
72	7.6	0	0	4.1
73	100	100	100	100
74	0	0	0	0
75	0	0	0	0
76	94.4	100	100	100
77	100	100	89.4	100
78	90.9	95.2	26.3	35
79	100	100	100	100
80	94.4	95.6	97.3	96
81	93.7	94.1	100	100
82	100	91.1	100	93.7
83	0	0	3.7	0
84	90.4	95	5.8	4.3
85	0	0	0	0
86	7.1	4.7	0	0
87	100	100	100	100
88	100	100	92.3	66.6
89	0	0	0	0
90	0	0	0	0
91	0	0	6.4	0
92	0	0	0	0
93	0	0	0	2.3
94	100	100	100	95.8
95	83.3	84.6	100	100
96	87.7	81.3	15.7	14
